city,zpid,zipcode,garageSpaces,hasAssociation,yearBuilt,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms,numOfStories
austin,80079467,78737,3,True,2006,13068.0,4679,5.0,5,3
austin,251036659,78744,2,True,2019,7152.0,2433,3.0,4,1
austin,29372402,78750,0,True,1984,9888.0,2047,2.0,3,1
austin,116080293,78717,0,True,2012,13068.0,1905,2.0,3,1
austin,120898376,78732,3,True,2013,26571.6,4393,4.0,4,2
austin,70345672,78725,0,True,2011,4660.0,2074,3.0,5,2
austin,29344810,78746,0,False,1974,10890.0,1940,2.0,4,1
austin,80107289,78732,3,True,2009,13939.2,4416,4.0,5,2
austin,29353999,78730,3,True,2000,63597.6,5057,6.0,4,2
austin,29395299,78724,0,False,1972,7230.0,1903,3.0,5,2
austin,145655653,78744,4,True,2015,7405.0,2075,3.0,4,2
austin,89548288,78732,2,True,2008,6316.0,2705,4.0,4,2
